"Time","Source","Destiny","SrcPort","DstPort","Protocol","Frame","Ack"
"3.030425","192.168.122.20","192.168.121.10","21","55956","TCP","379",""
"3.030434","192.168.121.10","192.168.122.20","55956","21","FTP","380",""
"3.030443","192.168.122.20","192.168.121.10","21","55956","TCP","381","374"
"3.030453","192.168.121.10","192.168.122.20","55956","21","FTP","382",""
"3.030733","192.168.122.20","192.168.121.10","21","55956","TCP","383","378"
"3.030746","192.168.121.10","192.168.122.20","55956","21","FTP","384",""
"3.030763","192.168.122.20","192.168.121.10","21","55956","TCP","385",""
"3.030772","192.168.121.10","192.168.122.20","55956","21","FTP","386",""
"3.030783","192.168.121.10","192.168.122.20","55956","21","FTP","387",""
"3.030788","192.168.122.20","192.168.121.10","21","55956","TCP","388","382"
"3.030796","192.168.121.10","192.168.122.20","55956","21","FTP","389",""
